ling,yuan,xing 〇
zhen 㮳
zhan 㮵
shuo 㮶
ji 㮷
song 㮸
zhi 㮹
ben 㮺
lang 㮾
bi 㮿
xuan 㯀
pei 㯁
dai 㯂
zhi 㯄
pi,bi 㯅
shan,chan 㯆
bi 㯇
su 㯈
huo 㯉
hen 㯊
jiong,ying 㯋
chuan 㯌
jiang 㯍
nen 㯎
gu 㯏
fang 㯐
ta,da 㯓
cui 㯔
xi 㯕
de 㯖
xian 㯗
kuan 㯘
zhe 㯙
ta 㯚
hu 㯛
cui 㯜
lu 㯝
juan 㯞
lu 㯟
qian 㯠
pao 㯡
zhen 㯢
li 㯤
cao,zao 㯥
qi 㯦
ti 㯩
ling 㯪
qu 㯫
lian 㯬
lu 㯭
shu 㯮
ju,gong,dan 㯯
zhe 㯰
pao 㯱
jin 㯲
qing 㯳
zong 㯶
pu 㯷
jin 㯸
biao 㯹
jian 㯺
gun 㯻
zao 㯾
lie,la 㯿
li 㰀
luo 㰁
shen 㰂
mian 㰃
jian 㰄
di,zhe 㰅
bei 㰆
lian 㰈
xian 㰊
pin 㰋
que 㰌
long 㰍
zui 㰎
jue 㰐
shan 㰑
xue 㰒
xie 㰔
lan 㰖
qi 㰗
yi 㰘
nuo 㰙
li 㰚
yue 㰛
yi 㰝
chi 㰞
ji,qi 㰟
hang 㰠
xie 㰡
keng 㰢
zi 㰣
qie,he 㰤
hui,xi 㰥
qu 㰦
hai 㰧
xia 㰨
hai 㰩
gui 㰪
chan 㰫
xun 㰬
xu 㰭
shen 㰮
tou,kou,hou 㰯
qie,xia,he 㰰
sha 㰱
xu,yu 㰲
ya 㰳
pou 㰴
zu 㰵
you,ou 㰶
zi 㰷
lian 㰸
han,xian 㰹
xia 㰺
yi,xi,hou 㰻
sha,qie 㰼
yan 㰽
jiao 㰾
xi 㰿
chi 㱀
kuan,shi 㱁
kang 㱂
yin 㱃
hei,mo 㱄
yi 㱅
xi 㱆
se,xi 㱇
jin 㱈
ye 㱉
you 㱊
que 㱋
ye,che 㱌
luan 㱍
kun 㱎
zheng 㱏
xie 㱔
cui 㱖
xiu 㱗
an 㱘
gua,xiu 㱙
can 㱚
chuan,bu 㱛
zha 㱜
yi,la 㱞
pi 㱟
gu,ku 㱠
sheng 㱡
lang 㱢
tui 㱣
xi 㱤
ling,leng 㱥
qi 㱦
yuan,wo 㱧
lian 㱨
du 㱩
men 㱪
lan 㱫
wei 㱬
duan 㱭
kuai 㱮
ai 㱯
zai 㱰
hui 㱱
yi 㱲
mo 㱳
zi 㱴
fen 㱵
peng,beng 㱶
bi 㱸
li 㱹
lu 㱺
luo 㱻
hai 㱼
qin,zhen 㱽
gai,kai 㱾
qiang,que,hu 㱿
chen,zhen 㲀
zhong,kong 㲁
cheng 㲂
jiu 㲃
ku,jue 㲄
ji 㲅
ling 㲆
